"geom","aes","ex","ex2","code","layer","data"
"coord_cartesian","xlim,ylim","r","coord_cartesian(xlim=c(0,5))","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"coord_fixed","ratio,xlim,ylim","r","coord_fixed(ratio=1/2)","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"coord_flip","xlim,ylim","r","coord_flip()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"coord_map","projection,orientation,xlim,ylim","u","coord_map(projection=""ortho"",orientation=c(41,-74,0))","ggplot(map_data('world'), aes(long, lat, group = group))","geom_polygon(fill = 'white', colour = 'black')","map"
"coord_polar","theta,start,direction","r","coord_polar(theta=""x"",direction=1)","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"coord_quickmap","xlim,ylim,expand","u","coord_quickmap()","ggplot(map_data('world'), aes(long, lat, group = group))
","geom_polygon(fill = 'white', colour = 'black')","map"
"coord_trans","x,y,limx,limy","r","coord_trans(y=""sqrt"")","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"facet_grid","","t","facet_grid(year~fl)","ggplot(mpg,aes(cty,hwy))","geom_point()","mpg"
"facet_wrap","","t","facet_wrap(~fl)","ggplot(mpg,aes(cty,hwy))+geom_point()","","mpg"
"geom_abline","intercept,slope,x,y,alpha,color,size,linetype","b","geom_abline(aes(intercept=1,slope=1))","ggplot(seals,aes(x=long,y=lat))","","seals"
"geom_area","x,y,alpha,color,fill,size,linetype","c","geom_area(stat=""bin"")","ggplot(mpg,aes(hwy))","","mpg"
"geom_bar","x,alpha,color,fill,size,linetype,weight","d","geom_bar()","ggplot(mpg,aes(fl))","","mpg"
"geom_bin2d","x,y,alpha,color,fill,linetype,size,weight","h","geom_bin2d(binwidth=c(0.25,500))","ggplot(diamonds,aes(carat,price))","","diamonds"
"geom_boxplot","x,y,lower,middle,upper,ymax,ymin,alpha,color,fill,group,linetype,shape,size,weight","f","geom_boxplot()","ggplot(mpg,aes(class,hwy))","","mpg"
"geom_col","x,y,alpha,color,fill,group,linetype,size,","f","geom_col()","ggplot(mpg,aes(class,hwy))","","mpg"
"geom_contour","x,y,z,alpha,color,group,linetype,size,weight","l","geom_contour(aes(z=z))","ggplot(seals,aes(long,lat))","","seals"
"geom_count","x,y,alpha,color,fill,shape,size,stroke","g","geom_count()","ggplot(diamonds,aes(cut,color))","","diamonds"
"geom_crossbar","x,y,ymax,ymin,alpha,color,fill,group,linetype,size","j","geom_crossbar(fatten=2)","ggplot(dfj,aes(grp,fit,ymin=fit-se,ymax=fit+se))","","dfj"
"geom_curve","x,xend,y,yend,alpha,angle,color,curvature,linetype,size","b","geom_curve(aes(yend=lat+1,exend=long+2,curvarture=z))","ggplot(seals,aes(x=long,y=lat))","","seals"
"geom_density","x,y,alpha,color,fill,group,size,linetype,weight","c","geom_density(kernel=""gaussian"")","ggplot(mpg,aes(hwy))","","mpg"
"geom_density2d","x,y,alpha,color,group,linetype,size","h","geom_density2d()","ggplot(diamonds,aes(carat,price))","","diamonds"
"geom_dotplot","x,y,alpha,color,fill","c","geom_dotplot()","ggplot(mpg,aes(hwy))","","mpg"
"geom_errorbar","x,ymax,ymin,alpha,color,group,linetype,size,width","j","geom_errorbar()","ggplot(dfj,aes(grp,fit,ymin=fit-se,ymax=fit+se))","","dfj"
"geom_errorbarh","x,xmin,xmax,y,alpha,color,group,linetype,size,height","j","geom_linerange()","ggplot(dfj,aes(grp,fit,ymin=fit-se,ymax=fit+se))","","dfj"
"geom_freqpoly","x,y,alpha,color,group,size,linetype","c","geom_freqpoly()","ggplot(mpg,aes(hwy))","","mpg"
"geom_hex","x,y,alpha,color,fill,size","h","geom_hex()","ggplot(diamonds,aes(carat,price))","","diamonds"
"geom_histogram","x,y,alpha,color,group,size,linetype,weight","c","geom_histogram(binwidth=6)","ggplot(mpg,aes(hwy))","","mpg"
"geom_hline","yintercept,x,y,alpha,color,size,linetype","b","geom_hline(aes(yintercept=lat))","ggplot(seals,aes(x=long,y=lat))","","seals"
"geom_jitter","x,y,alpha,color,fill,shape,size","e","geom_jitter(height=2,width=2)","ggplot(mpg,aes(cty,hwy))","","mpg"
"geom_label","x,y,label,alpha,angle,color,family,fontface,hjust,lineheight,size,vjust,position","e","geom_label(aes(label=cty),nudge_x=1,nudge_y=1,check_overlap=TRUE)","ggplot(mpg,aes(cty,hwy))","","mpg"
"geom_line","x,y,alpha,color,group,linetype,size","i","geom_line()","ggplot(economics,aes(date,unemploy))","","economics"
"geom_map","map_id,alpha,color,fill,linetype,size","k","geom_map(aes(map_id=state),map=map)","ggplot(datak,aes(fill=murder))","expand_limits(x=map$long,y=map$lat)","datak"
"geom_path","x,y,alpha,color,group,linetype,size","a","geom_path(lineend=""butt"",linejoin=""round"",linemitre=1)","ggplot(economics,aes(x=date,y=unemploy))","","economics"
"geom_point","x,y,alpha,color,fill,shape,size,stroke","e","geom_point()","ggplot(mpg,aes(cty,hwy))","","mpg"
"geom_pointrange","x,y,ymax,ymin,alpha,color,fill,group,linetype,shape,size","j","geom_pointrange()","ggplot(dfj,aes(grp,fit,ymin=fit-se,ymax=fit+se))","","dfj"
"geom_polygon","x,y,alpha,color,fill,group,linetype,size","a","geom_polygon(aes(group=group))","ggplot(economics,aes(x=date,y=unemploy))","","economics"
"geom_qq","x,y,alpha,color,fill,size,linetype,weight,sample","c2","geom_qq()","ggplot(mpg)","","mpg"
"geom_quantile","x,y,alpha,color,group,linetype,size,weight","e","geom_quantile()","ggplot(mpg,aes(cty,hwy))","","mpg"
"geom_raster","x,y,alpha,fill","l","geom_raster(aes(fill=z),hjust=0.5,vjust=0.5,interpolate=FALSE)","ggplot(seals,aes(long,lat))","","seals"
"geom_rect","xmin,xmax,ymin,ymax,alpha,color,fill,size,linetype","b","geom_rect(aes(xmin=long,ymin=lat,xmax=long+1,ymax=lat+1))","ggplot(seals,aes(x=long,y=lat))","","seals"
"geom_ribbon","x,ymax,ymin, alpha,color,fill,group,size,linetype","a","geom_ribbon(aes(ymin-unemploy-900,ymax=unemploy+900))","ggplot(economics,aes(x=date,y=unemploy))","","economics"
"geom_rug","x,y,alpha,color,linetype,size","e","geom_rug(sides=""bl"")","ggplot(mpg,aes(cty,hwy))","","mpg"
"geom_segment","x,xend,y,yend,alpha,color,size,linetype","b","geom_segment(aes(yend=lat+1,xend=long+1))","ggplot(seals,aes(x=long,y=lat))","","seals"
"geom_smooth","x,y,alpha,color,fill,group,linetype,size,weight","e","geom_smooth(method=lm)","ggplot(mpg,aes(cty,hwy))","","mpg"
"geom_spoke","angle,radius,x,y,alpha,color,size,linetype","b","geom_spoke(aes(angloe=1:1155,radius=1))","ggplot(seals,aes(x=long,y=lat))","","seals"
"geom_step","x,y,alpha,color,group,linetype,size","i","geom_step(direction=""hv"")","ggplot(economics,aes(date,unemploy))","","economics"
"geom_text","x,y,label,alpha,angle,color,family,fontface,hjust,lineheight,size,vjust,position","e","geom_text(aes(label=cty),nudge_x=1,nudge_y=1,check_overlap=TRUE)","ggplot(mpg,aes(cty,hwy))","","mpg"
"geom_tile","x,y,alpha,color,fill,linetype,size,width","l","geom_tile(aes(fill=z))","ggplot(seals,aes(long,lat))","","seals"
"geom_violin","x,y,alpha,color,fill,group,linetype,size,weight","f","geom_violin()","ggplot(mpg,aes(class,hwy))","","mpg"
"geom_vline","xintercept,x,y,alpha,color,size,linetype","b","geom_vline(aes(xintercept=long))","ggplot(seals,aes(x=long,y=lat))","","seals"
"stat_bin","x,y","c","stat_bin(binwidth=1,boundary=10)","ggplot(mpg,aes(hwy))","","mpg"
"stat_bin_2d","x,y,fill","e","stat_bin_2d(bins=30,drop=T)","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_bin_hex","x,y,fill","e","stat_bin_hex(bins=30)","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_boxplot","x,y","f","stat_boxplot(coef=1.5)","ggplot(mpg,aes(class,hwy))","","mpg"
"stat_contour","x,y,z,order","l","stat_contour(aes(z=z))","ggplot(seals,aes(long,lat))","","seals"
"stat_count","x,y","c","stat_count(width=1)","ggplot(mpg,aes(hwy))","","mpg"
"stat_density","x,y","c","stat_density(adjust=1,kernel=""gaussian"")","ggplot(mpg,aes(hwy))","","mpg"
"stat_density_2d","x,y,color,size,fill","e","stat_density_2d(contour=TRUE,n=100)","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_ecdf","x,y","e","stat_ecdf(n=40)","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_ellipse","x,y,color,size","e","stat_ellipse(level=0.95,segments=51,type=""t"")","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_function","x","m","stat_function(aes(x=-3:3),n=99,fun=dmorm,args(list(sd=0.5))","ggplot()","",""
"stat_identity","x","e","stat_identity(na.rm=TRUE)","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_qq","sample,group,x,y","m","stat_qq(aes(sample=1:100),dist=qt,dparam=list(df=5))","ggplot()","",""
"stat_quantile","x,y","e","stat_quantile(quantiles=c(0.1,0.9),formula=y~log(x),method=""rq"")","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_smooth","x,y","e","stat_smoooth(method='lm',formula=y~x,se=T,level=0.95)","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_sum","x,y,size","e","stat_sum()","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_summary","","e","stat_summary(fun.data=""mean_cl_boot"")","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_summary_2d","x,y,z,fill","l","stat_summary_2d(aes(z=z),bins=30,fun=mean)","ggplot(seals,aes(long,lat))","","seals"
"stat_summary_bin","","h","stat_summary_bin(fun.y=""mean"",geom=""bar"")","ggplot(diamonds,aes(carat,price))","","diamonds"
"stat_summary_hex","x,y,z,fill","l","stat_summary_hex(aes(z=z),bins=30,fun=max)","ggplot(seals,aes(long,lat))","","seals"
"stat_unique","","e","stat_unique()","ggplot(mpg,aes(cty,hwy))","","mpg"
"stat_ydensity","x,y","f","stat_ydensity(kernel=""gaussian"",scale=""area"")","ggplot(mpg,aes(class,hwy))","","mpg"
"theme_bw","","r","theme_bw()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_classic","","r","theme_classic()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_dark","","r","theme_dark()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_economist","","p2","theme_economist()","ggplot(mtcars,aes(x=wt,y=mpg,colour=factor(gear)))","geom_point()+ggtitle(""Cars"")+scale_colour_economist()+scale_y_continuous(position = ""right"")","mtcars"
"theme_excel","","p2","theme_excel()","ggplot(mtcars,aes(x=wt,y=mpg,colour=factor(gear)))","geom_point()+ggtitle(""Cars"")+scale_color_excel()","mtcars"
"theme_fivethirtyeight","","p2","heme_fivethirtyeight()","ggplot(mtcars,aes(x=wt,y=mpg,colour=factor(gear)))","geom_point()+ggtitle(""Cars"")+geom_smooth(method='lm',se=FALSE)+scale_color_fivethirtyeight('cyl')","mtcars"
"theme_gray","","r","theme_gray()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_light","","r","theme_light()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_linedraw","","r","theme_linedraw()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_minimal","","r","theme_minimal()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_stata","","p2","theme_stata()","ggplot(mtcars,aes(x=wt,y=mpg,colour=factor(gear)))","geom_point()+ggtitle(""Cars"")+scale_colour_stata()","mtcars"
"theme_tufte","ticks","p1","theme_tufte() 
 ","ggplot(mtcars,aes(x=wt,y=mpg))","geom_point()+ggtitle(""Cars"")+geom_rangeframe()+scale_x_continuous(breaks = extended_range_breaks()(mtcars$wt))+scale_y_continuous(breaks = extended_range_breaks()(mtcars$mpg))
","mtcars"
"theme_void","","r","theme_void()","ggplot(mpg,aes(fl))+geom_bar()","","mpg"
"theme_wsj","","p2","theme_wsj()","ggplot(mtcars,aes(x=wt,y=mpg,colour=factor(gear)))","geom_point()+ggtitle(""Cars"")+scale_colour_wsj()","mtcars"
"geom_blank","","","","","",""
"geom_linerange","x,ymax,ymin,alpha,color,group,linetype,size","j","geom_linerange()","ggplot(dfj,aes(grp,fit,ymin=fit-se,ymax=fit+se))","","dfj"
"scale_x_continuous","","","scale_x_continuous()","ggplot(mpg,aes(displ,hwy))","geom_point()","mpg"
"scale_y_continuous","","","scale_y_continuous()","ggplot(mpg,aes(displ,hwy))","geom_point()","mpg"
"scale_x_log10","","","","","",""
"scale_y_log10","","","","","",""
"scale_x_reverse","","","","","",""
"scale_y_reverse","","","","","",""
"scale_x_sqrt","","","","","",""
"scale_y_sqrt","","","","","",""
"scale_alpha","","","","","",""
